"topic","text"
"humor","They were always leaping to light cigarettes , open car doors , fill plates or glasses , and I mistrusted the whole lot of them to the same degree that I mistrusted bake shops that called themselves `` Sanitary Bake Shops '' ."
"science_fiction","No , the fish could eat their bodies for all the Sturch cared ."
"science_fiction","Fighting pleasure itself , he begged B'dikkat to check the records and to tell him how long he had been there ."
"science_fiction","that is all I can tell you about them ."
"humor","`` That's one thing I've never done '' , she said promptly ."
"humor","One day , the children had wanted to get up onto General Burnside's horse ."
"science_fiction","Then there was North America , where American was the native speech of all except the twenty descendants of French-Canadians living on the Hudson Bay Preserve ."
"humor","`` Now '' , he said , `` we got to put in some outlets for them power tools ; ;"
"science_fiction","`` At first I was homesick '' , he answered ."
"science_fiction","Any other reaction would have been reported instantly ."
"humor","`` Now we are leaving humor and comedy behind again '' , Moreland protested ."
"science_fiction","Why do you have to jump me the first time something goes wrong ? ?"
"humor","And when they had got to their little lawn , they had had a most twirlingly magnificent time ."
"humor","Dear Sirs : Let me begin by clearing up any possible misconception in your minds , wherever you are ."
"humor","Not only was Haumd's intonation and phrasing without flaw , but he seemed to take every tonal eccentricity in stride ."
"science_fiction","Somehow , all the other passengers ( also supposed to have died in this web of elaborate frauds to cover up the disappearance of the personnel of the Gabriel ) had simultaneously `` agreed '' to die ."
"science_fiction","Ekstrohm shouldered his way outside and scanned the veldt ."
"science_fiction","The woman covered with growing hands came and sat beside them ."
"humor","He's really asking for it '' ."
"science_fiction","`` Ekstrohm '' ? ?"
"humor","But now , under the guidance of the contemporary composer Marc Schlek , Jr. , a major revival is under way ."
"science_fiction","`` Sigmen love you , too , my guardian '' , said Hal , choking ."
"science_fiction","individually they are nearly as mortal as you -- the difference does not seem very marked to us , where it exists ."
"humor","For example , when the film is only four minutes old , Neitzbohr refers to a small , Victorian piano stool as `` Wilhelmina '' , and we are thereupon subjected to a flashback that informs us that this very piano stool was once used by an epileptic governess whose name , of course , was Doris ( the English equivalent , when passed through middle-Gaelic derivations , of Wilhelmina ) ."
"humor","-- if that can be screamed in their language '' ."
"humor","The bodies must be cleaned and seats wiped off '' ."
"science_fiction","Any little dose of radiation might knock off these critters '' ."
"humor","Still , there it is ."
"humor","The latest and , significantly , greatest fruit of this theatrical vine is The , an adaptation of Basho's classic frog-haiku by Roger Entwhistle , a former University of Maryland chemistry instructor ."
"science_fiction","Besides , agreements `` in principle '' , with the petty details to be thrashed out later , were commonplace in diplomatic history ."
"humor","They were constantly assuring you that you were one of the world's great guys ."
"humor","Orders were given to dig ."
"science_fiction","His duty was to write a school text and to teach the entire personnel of the Gabriel how to speak Ozagen ."
"science_fiction","`` Ryan , look over there '' , Nogol said ."
"science_fiction","Far long ago , some other prisoner than one of these had tried to write a letter ."
"humor","Why in the name of his non-God doesn't he vary it a bit '' ? ?"
"humor","In our present era of Science and Angst , the heart has been downgraded , to use one of our popular retrogressive verbs '' ."
"science_fiction","Hal felt sorry for Mary ; ;"
"humor","But she was ."
"science_fiction","This explained a great deal ."
"science_fiction","And there would be no chance of signaling them -- without the Nernst generator Jack could not send a call powerful enough to get through all the static , and by the time he could rebuild his fusion power the skiff would be gone ."
"humor","In my estimation , they were people who read Daphne du Maurier , and discussed Kafka ; ;"
"humor","He was very funny about the whole thing ."
"humor","As you can count on me to do the same ."
